0.00 0.00 1.13
0.00 1.00 2.25
1.00 0.00 1.13
1.00 1.00 0.00
0.00 0.00 1.13
1.00 0.00 0.00
1.00 6.00 12.38
0.00 3.00 6.75
1.00 0.00 7.04
0.00 0.00 2.25
0.00 3.00 2.35
1.00 0.00 2.25
0.00 6.00 13.50
1.00 2.00 1.13
0.00 6.00 19.13
0.00 0.00 3.38
0.00 1.00 10.13
1.00 1.00 2.25
1.00 1.00 0.00
1.00 0.00 0.00
0.00 2.00 6.75
1.00 0.00 0.00
0.00 4.00 4.50
1.00 0.00 0.00
0.00 0.00 5.63
1.00 0.00 19.13
0.00 2.00 16.88
0.00 4.00 2.25
1.00 3.00 4.50
1.00 0.00 0.00
0.00 1.00 3.38
1.00 0.00 0.00
1.00 1.00 1.13
0.00 2.00 3.38
1.00 0.00 2.25
