 0.3626949  0.1780170 -0.1394791  0.1403172 -0.1371229  0.1316388  0.1116461 -0.1160747 -0.1272659 -0.1356067
 0.1780170  0.2778106 -0.1514974  0.1547967 -0.1469220  0.1575318  0.1290256 -0.1210925 -0.1289711 -0.1425795
-0.1394791 -0.1514974  0.3218340 -0.1398401  0.1982994 -0.1564585 -0.1415172  0.1599683  0.1785249  0.1927408
 0.1403172  0.1547967 -0.1398401  0.2951685 -0.1444328  0.1513037  0.1364451 -0.1254425 -0.1397845 -0.1456643
-0.1371229 -0.1469220  0.1982994 -0.1444328  0.3773730 -0.1700383 -0.1570827  0.1717780  0.1848017  0.1955962
 0.1316388  0.1575318 -0.1564585  0.1513037 -0.1700383  0.3237792  0.1919216 -0.1563499 -0.1794359 -0.1829488
 0.1116461  0.1290256 -0.1415172  0.1364451 -0.1570827  0.1919216  0.3597130 -0.1516309 -0.1797360 -0.1740633
-0.1160747 -0.1210925  0.1599683 -0.1254425  0.1717780 -0.1563499 -0.1516309  0.5317130  0.2409466  0.2135351
-0.1272659 -0.1289711  0.1785249 -0.1397845  0.1848017 -0.1794359 -0.1797360  0.2409466  0.4963654  0.2909341
-0.1356067 -0.1425795  0.1927408 -0.1456643  0.1955962 -0.1829488 -0.1740633  0.2135351  0.2909341  0.4014302
