1.0000  .6924  .7091  .8208  .6173  .6360  .6451  .4868
 .6924 1.0000  .7041  .7751  .6133  .5741  .6076  .4269
 .7091  .7041 1.0000  .7738  .6365  .6273  .6282  .5217
 .8208  .7751  .7738 1.0000  .6594  .6513  .6700  .5175
 .6173  .6133  .6365  .6594 1.0000  .6709  .6078  .6026
 .6360  .5741  .6273  .6513  .6709 1.0000  .6225  .7145
 .6451  .6076  .6282  .6700  .6078  .6225 1.0000  .4820
 .4868  .4269  .5217  .5175  .6026  .7145  .4820 1.0000
