     4.280     5.110     9.730    17.760    20.330    21.190    23.430    17.910    19.710     1.000     0.000     1.000
     6.770     8.680    16.660    20.070    22.890    22.730    20.560    22.130    23.060     1.000     0.000     1.000
     6.110     7.310    12.480    21.270    28.470    24.510    22.860    24.680    27.830     1.000     0.000     1.000
     9.000     7.670    12.360    17.190    21.470    25.380    24.800    24.790    26.590     1.000     0.000     1.000
     4.580     3.890    12.370    12.970    19.020    14.380    16.600    18.010    19.030     1.000     0.000     1.000
     6.610     7.140    10.200    21.160    21.540    18.310    16.160    19.640    21.280     0.999     0.001     1.000
     4.060     3.980     9.880    18.820    20.810    22.250    21.050    19.430    22.950     1.000     0.000     1.000
     7.480     7.610    15.810    19.600    25.800    21.510    21.330    24.110    21.660     1.000     0.000     1.000
     9.190     8.540     9.420    16.680    24.300    22.070    23.300    23.950    24.660     1.000     0.000     1.000
     5.480     5.610    13.530    17.690    15.910    16.210    15.410    15.730    15.720     0.842     0.158     1.000
     9.530    10.160    22.150    26.480    32.730    28.420    31.090    29.760    28.970     1.000     0.000     1.000
     2.640     3.420     7.810     6.260     8.960     7.820     8.680     7.880     7.910     0.875     0.125     1.000
     7.370     9.120    16.910    21.480    23.200    24.400    27.560    28.580    24.650     1.000     0.000     1.000
    10.540    10.150    15.680    23.080    25.320    26.800    24.070    25.790    26.240     1.000     0.000     1.000
     7.150     7.520    11.480    15.210    21.740    21.470    21.620    21.060    22.550     1.000     0.000     1.000
     5.410     6.390    11.490    21.550    19.790    21.530    24.110    24.320    21.950     1.000     0.000     1.000
     6.270     5.340     6.810    13.410    16.730    11.370    13.070    16.130    14.840     0.998     0.002     1.000
     8.740     8.390    10.130    19.200    21.630    14.020    14.190     8.770    14.440     0.000     1.000     2.000
     8.670     9.740    13.010    16.810    16.060    12.500    12.110    13.360    12.400     0.000     1.000     2.000
     9.350     8.230    13.900    15.980    18.450    14.700     9.350    12.100    12.570     0.000     1.000     2.000
     8.930     9.580    13.990    14.220    21.610    15.840    13.050    13.150    14.240     0.000     1.000     2.000
     7.720     7.210    10.980    14.840    17.800    16.430    14.910    12.310    15.420     0.116     0.884     2.000
     9.620    10.290    14.720    21.260    20.120    21.010    14.630    18.180    17.640     0.000     1.000     2.000
     8.680     7.670    14.380    17.960    20.450    17.220    18.050    15.200    17.250     0.034     0.966     2.000
     8.080     8.860    17.050    25.350    25.100    20.200    21.060    17.280    17.120     0.000     1.000     2.000
     9.350     8.280    12.780    22.820    24.250    17.190    16.700    16.350    15.580     0.000     1.000     2.000
     9.180     9.990    16.300    24.250    30.180    19.500    16.630    19.320    16.510     0.000     1.000     2.000
    10.540    10.690    19.240    22.800    25.260    20.340    18.050    20.230    19.120     0.000     1.000     2.000
     3.600     3.900     7.920    16.500    20.750    13.650     9.400     6.830     9.730     0.000     1.000     2.000
     2.420     2.090    12.840    22.030    20.640    12.810    13.670    12.450     8.040     0.000     1.000     2.000
     9.470     9.480    16.740    23.000    26.600    20.700    18.470    17.330    18.840     0.000     1.000     2.000
     7.400     6.570     8.540    13.970    17.620    11.140    10.260    13.790     8.140     0.000     1.000     2.000
     7.750     9.380    11.270    14.850    17.870    15.590    11.820    12.020    15.090     0.001     0.999     2.000
     4.760     4.580    10.130    14.130    16.960    15.450     9.930    10.600    10.460     0.000     1.000     2.000
