8 1 -0.685 -0.424 -0.219 0.555 -1.339 -0.742 -0.638 0.211 0.382 0.599 0.559 0.855 42.25 46.5 43.5 45 40.5 42.5 42 45.5
15 2 -0.736 -0.428 0.031 0.627 -0.637 -0.399 -0.28 0.371 -0.223 0.216 0.15 0.706 44.5 45.63 47 48.5 43 46.5 48 52
21 1 -0.359 0.27 0.295 1.099 -1.182 -0.939 -0.067 0.241 0.143 1.06 0.679 1.359 49 56.5 51.75 53.5 100 83 58 130.25
28 1 -0.916 -0.588 -0.408 0.279 -1.071 -0.444 -0.33 0.195 -0.473 0.147 0.055 0.455 44.19 45.75 46.88 49.13 55.25 66 70.75 73.5
36 2 -1.834 -0.697 -0.222 0.057 -1.857 -0.332 -0.26 0.029 -0.413 0.018 0.087 0.349 42.88 47.5 45.25 46.75 44.5 47 48.5 51.5
37 1 -0.718 -0.41 -0.217 0.79 -1.069 -0.104 -0.08 1.029 -0.061 0.086 0.231 0.49 43.69 48.75 46 47.25 44.25 47 49.5 52
38 2 -1.313 -0.533 -0.662 0.271 -1.318 -0.575 -0.223 0.603 -0.591 -0.123 0.022 0.367 44.38 45.75 46.75 48.25 39.5 49.25 47 52.75
47 1 -1.392 -0.79 -0.301 0.166 -1.51 -0.773 -0.347 0.459 -0.227 0.079 0.197 0.804 46.13 44 45.25 46.5 41 44 44 47.5
48 1 -1.1 -1.019 -0.77 -0.005 -1.353 -1.283 -1.014 0.294 -0.264 -0.118 0.296 0.6 45.88 44 44.62 45.5 38.5 39.25 41 44
49 1 -1.496 -0.997 -0.353 -0.041 -1.611 -0.832 -0.413 0.155 -0.237 0.006 0.604 0.695 43.25 45 46.25 48.75 41.5 44 47 52.5
52 2 -0.949 -0.523 -0.082 0.287 -1.132 -0.241 -0.265 0.396 0.026 0.232 0.514 0.601 42.13 43.75 44.5 45.88 40.5 44.5 44.25 46
56 1 -0.584 -0.196 0.749 1.3 -1.056 -0.157 -0.054 0.859 0.168 0.784 0.993 1.269 44.5 46.5 47.5 48.38 52 66.5 70 83
59 2 -1.195 -0.368 -0.454 0.707 -1.482 -0.367 0.068 0.677 -0.027 0.319 0.23 0.631 42 47.38 44 45.75 41.5 43.5 44.5 48
74 1 -1.262 -0.673 -0.253 1.086 -1.06 -0.189 -0.018 0.77 0.281 0.404 0.59 1.591 45.37 47.25 48.13 49.5 44.75 46 50.5 52.5
76 1 -0.937 -0.14 -0.403 0.506 -0.466 -0.129 0.009 0.579 -0.587 -0.449 -0.34 0.11 43.75 43 44 45.5 45 44.25 44.5 48.5
80 1 -0.985 -0.204 0.056 0.548 -1.207 -0.277 0.212 1.061 -0.715 -0.322 0.199 1.119 42.5 44.25 44.5 46.5 40.5 42.5 44 48.25
81 1 -0.851 -0.33 -0.251 0.558 -0.937 0.058 0.022 0.71 0.155 0.715 0.779 1.151 46.5 51.5 49 50.5 50.25 54 56.5 59.5
86 2 -0.773 -0.163 -0.276 1.057 -1.075 -0.233 -0.11 1.078 -0.009 0.25 0.593 0.907 44.5 45.75 46.5 47.88 41.75 43 44.5 47
