 0.2499   0.1181   0.1126   0.0132  -0.0213   0.1008  -0.0082   0.0155   0.0276   0.0096   0.0113   0.0226  -0.0071   0.0326  -0.0044   0.0183   0.0407   0.0022  -0.0038
 0.1181  17.1127   0.1080  -0.0846   0.0267   0.1232  -0.2510  -0.1376   0.0512  -0.0819  -0.2634   0.0891   0.0921   0.3522  -0.1412  -0.0448   0.0014   0.0649  -0.0028
 0.1126   0.1080   4.0920   2.0091   1.1944   1.6706   0.9018   1.0009   0.2631   0.2454   0.3688   0.2927   0.0935   0.3975  -0.2287   0.2699   0.2990   0.2612   0.0465
 0.0132  -0.0846   2.0091   2.8624   1.0729   1.5285   1.1494   1.1579   0.1799   0.2223   0.2553   0.2346   0.1404   0.3091  -0.2129   0.2264   0.2590   0.1701   0.0593
-0.0213   0.0267   1.1944   1.0729   2.4191   0.8189   0.6206   0.5671   0.1245   0.1232   0.1671   0.1236   0.0148   0.1788  -0.1228   0.1629   0.1767   0.1021   0.0275
 0.1008   0.1232   1.6706   1.5285   0.8189   3.4995   1.1538   1.3191   0.1716   0.1342   0.2016   0.1975   0.1517   0.3109  -0.1485   0.1736   0.1788   0.1707   0.0301
-0.0082  -0.2510   0.9018   1.1494   0.6206   1.1538   1.5687   0.9899   0.1113   0.1365   0.1823   0.1766   0.0738   0.2027  -0.1327   0.1410   0.1632   0.1099   0.0440
 0.0155  -0.1376   1.0009   1.1579   0.5671   1.3191   0.9899   1.6875   0.1170   0.1309   0.1518   0.1611   0.0884   0.2065  -0.1311   0.1237   0.1691   0.1151   0.0330
 0.0276   0.0512   0.2631   0.1799   0.1245   0.1716   0.1113   0.1170   0.5254   0.1895   0.1670   0.1754   0.1108   0.2336  -0.1333   0.1711   0.1711   0.1419   0.0417
 0.0096  -0.0819   0.2454   0.2223   0.1232   0.1342   0.1365   0.1309   0.1895   0.4295   0.2247   0.2818   0.1120   0.2238  -0.2030   0.2314   0.2662   0.1477   0.0758
 0.0113  -0.2634   0.3688   0.2553   0.1671   0.2016   0.1823   0.1518   0.1670   0.2247   0.7344   0.2169   0.1510   0.2840  -0.1380   0.1961   0.2059   0.2073   0.0554
 0.0226   0.0891   0.2927   0.2346   0.1236   0.1975   0.1766   0.1611   0.1754   0.2818   0.2169   0.4531   0.1209   0.2415  -0.2113   0.2577   0.3059   0.1619   0.0808
-0.0071   0.0921   0.0935   0.1404   0.0148   0.1517   0.0738   0.0884   0.1108   0.1120   0.1510   0.1209   1.5065   0.1916  -0.0479   0.1155   0.1198   0.1209   0.0295
 0.0326   0.3522   0.3975   0.3091   0.1788   0.3109   0.2027   0.2065   0.2336   0.2238   0.2840   0.2415   0.1916   0.9963  -0.1751   0.2140   0.2140   0.2332   0.0532
-0.0044  -0.1412  -0.2287  -0.2129  -0.1228  -0.1485  -0.1327  -0.1311  -0.1333  -0.2030  -0.1380  -0.2113  -0.0479  -0.1751   0.5816  -0.1938  -0.2199  -0.1222  -0.0541
 0.0183  -0.0448   0.2699   0.2264   0.1629   0.1736   0.1410   0.1237   0.1711   0.2314   0.1961   0.2577   0.1155   0.2140  -0.1938   0.5508   0.2873   0.1507   0.0717
 0.0407   0.0014   0.2990   0.2590   0.1767   0.1788   0.1632   0.1691   0.1711   0.2662   0.2059   0.3059   0.1198   0.2140  -0.2199   0.2873   0.5070   0.1668   0.0766
 0.0022   0.0649   0.2612   0.1701   0.1021   0.1707   0.1099   0.1151   0.1419   0.1477   0.2073   0.1619   0.1209   0.2332  -0.1222   0.1507   0.1668   0.5010   0.0547
-0.0038  -0.0028   0.0465   0.0593   0.0275   0.0301   0.0440   0.0330   0.0417   0.0758   0.0554   0.0808   0.0295   0.0532  -0.0541   0.0717   0.0766   0.0547   0.1041        
