   22.000    8.333     .        .        .      16.667     .        .        .        .        .        .        .        .        .        .        .        .      25.000     .        .        .      46.429     .        .        .        .        .        .        .        .        .        .        .        .       0.000   28.000   13.000   10.000
   34.000     .        .      25.000     .        .        .      50.000     .        .        .      33.333     .        .        .      41.667     .        .        .        .      25.000     .        .        .      34.524     .        .        .      53.571     .        .        .      53.571     .        .       1.000   28.000    9.000    9.000
   58.000     .       0.000     .        .        .      16.667     .        .        .       0.000     .        .        .       8.333     .        .        .        .      27.381     .        .        .      53.571     .        .        .      50.000     .        .        .      54.762     .        .        .       0.000   28.000    9.000    6.000
  122.000     .        .        .        .       0.000     .        .        .      25.000     .        .        .       8.333     .        .        .       8.333     .        .        .        .      44.048     .        .        .      95.238     .        .        .        .        .        .        .        .       1.000   28.000   13.000   10.000
  125.000     .        .        .       8.333     .        .        .       8.333     .        .        .      16.667     .        .        .       8.333     .        .        .        .      27.381     .        .        .      45.238     .        .        .      51.190     .        .        .      73.810     .       0.000   29.000   10.000    8.000
  133.000     .        .      25.000     .        .        .      33.333     .        .        .      25.000     .        .        .      41.667     .        .        .        .      21.429     .        .        .      30.952     .        .        .      48.810     .        .        .      47.619     .        .       1.000   28.000    8.000    9.000
  163.000     .        .      41.667     .        .        .      33.333     .        .        .      41.667     .        .        .      41.667     .        .        .        .      41.667     .        .        .      57.143     .        .        .      69.048     .        .        .      89.286     .        .       1.000   28.000   10.000   10.000
  190.000     .       0.000     .        .        .        .        .        .        .        .        .        .        .       0.000     .        .        .        .      34.524     .        .        .      72.619     .        .        .        .        .        .        .        .        .        .        .       0.000   28.000    9.000    8.000
  227.000     .       0.000     .        .        .       0.000     .        .        .      16.667     .        .        .       8.333     .        .        .        .      21.429     .        .        .      45.238     .        .        .      47.619     .        .        .        .        .        .        .       0.000   29.000   12.000   10.000
  248.000     .        .        .       8.333     .        .        .      16.667     .        .        .      16.667     .        .        .       0.000     .        .        .        .      41.667     .        .        .      67.857     .        .        .      83.333     .        .        .      82.143     .       0.000   28.000    9.000    9.000
  251.000     .        .        .      16.667     .        .        .      25.000     .        .        .      33.333     .        .        .      33.333     .        .        .        .      30.952     .        .        .      45.238     .        .        .      75.000     .        .        .      72.619     .       1.000   29.000    6.000    9.000
  300.000    0.000     .        .        .      50.000     .        .        .       0.000     .        .        .      25.000     .        .        .        .      21.429     .        .        .      44.048     .        .        .      52.381     .        .        .      50.000     .        .        .        .       1.000   28.000    7.000   11.000
