1.0000  .7721  .7532  .8332  .6493  .5606  .6389  .4685
 .7721 1.0000  .7784  .7917  .6722  .5691  .6111  .5136
 .7532  .7784 1.0000  .7979  .6599  .5592  .6474  .5024
 .8332  .7917  .7979 1.0000  .6531  .5767  .6396  .4788
 .6493  .6722  .6599  .6531 1.0000  .5930  .6443  .5947
 .5606  .5691  .5592  .5767  .5930 1.0000  .5863  .6243
 .6389  .6111  .6474  .6396  .6443  .5863 1.0000  .5164
 .4685  .5136  .5024  .4788  .5947  .6243  .5164 1.0000
