55.47     57.06   62.89   54.93   75.18   58.90   62.47   73.00  1.000
20.78     17.46   19.71   20.83   15.56   20.50   20.79   15.96  0.000
 1.0000   .6667   .6931   .8460   .4561   .4312   .4833   .3610   .0000
  .6667  1.0000   .7117   .7633   .5265   .4627   .5319   .3912   .0000
  .6931   .7117  1.0000   .7355   .5023   .5071   .4936   .4277   .0000
  .8460   .7633   .7355  1.0000   .4865   .5081   .5436   .4157   .0000
  .4561   .5265   .5023   .4865  1.0000   .5405   .4558   .5151   .0000
  .4312   .4627   .5071   .5081   .5405  1.0000   .3726   .5906   .0000
  .4833   .5319   .4936   .5346   .4558   .3726  1.0000   .3137   .0000
  .3610   .3912   .4277   .4157   .5151   .5906   .3137   1.0000  .0000
  .0000   .0000   .0000   .0000   .0000   .0000   .0000    .0000 1.0000  
